instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,clean_symbol
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,15237.0,,,1.0,1.0,EQUITY,,NSE_EQ,MARUTI
NSE_EQ|INE139A01034,6364,NATIONALUM,NATIONAL ALUMINIUM CO LTD,349.3,,,0.05,1.0,EQUITY,,NSE_EQ,NATIONALUM
NSE_EQ|INE763I01026,15174,TARIL,TRANS & RECTI. LTD,271.11,,,0.01,1.0,EQUITY,,NSE_EQ,TARIL
NSE_EQ|INE970X01018,2606,LEMONTREE,LEMON TREE HOTELS LTD,127.6,,,0.01,1.0,EQUITY,,NSE_EQ,LEMONTREE
NSE_EQ|INE522D01027,19061,MANAPPURAM,MANAPPURAM FINANCE LTD,302.65,,,0.05,1.0,EQUITY,,NSE_EQ,MANAPPURAM
NSE_EQ|INE1NPP01017,756871,ENRIN,SIEMENS ENERGY INDIA LTD,2740.1,,,0.1,1.0,EQUITY,,NSE_EQ,ENRIN
NSE_EQ|INE427F01016,8546,CHALET,CHALET HOTELS LIMITED,858.4,,,0.05,1.0,EQUITY,,NSE_EQ,CHALET
NSE_EQ|INE00R701025,8075,DALBHARAT,DALMIA BHARAT LIMITED,2140.3,,,0.1,1.0,EQUITY,,NSE_EQ,DALBHARAT
NSE_EQ|INE917I01010,16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED,9760.0,,,0.5,1.0,EQUITY,,NSE_EQ,BAJAJ-AUTO
NSE_EQ|INE146L01010,20936,KIRLOSENG,KIRLOSKAR OIL ENG LTD,1379.9,,,0.1,1.0,EQUITY,,NSE_EQ,KIRLOSENG
NSE_EQ|INE943P01029,29452,AGARWALEYE,DR AGARWALS HEALTH CARE L,455.05,,,0.05,1.0,EQUITY,,NSE_EQ,AGARWALEYE
NSE_EQ|INE267A01025,1424,HINDZINC,HINDUSTAN ZINC LIMITED,592.85,,,0.05,1.0,EQUITY,,NSE_EQ,HINDZINC
NSE_EQ|INE466L01038,13061,360ONE,360 ONE WAM LIMITED,1126.8,,,0.1,1.0,EQUITY,,NSE_EQ,360ONE
NSE_EQ|INE070A01015,3103,SHREECEM,SHREE CEMENT LIMITED,26130.0,,,5.0,1.0,EQUITY,,NSE_EQ,SHREECEM
NSE_EQ|INE242C01024,13620,ANANTRAJ,ANANT RAJ LIMITED,533.05,,,0.05,1.0,EQUITY,,NSE_EQ,ANANTRAJ
NSE_EQ|INE883F01010,23729,AADHARHFC,AADHAR HOUSING FINANCE L,466.65,,,0.05,1.0,EQUITY,,NSE_EQ,AADHARHFC
NSE_EQ|INE749A01030,6733,JINDALSTEL,JINDAL STEEL LIMITED,1184.7,,,0.1,1.0,EQUITY,,NSE_EQ,JINDALSTEL
NSE_EQ|INE171Z01026,2144,BDL,BHARAT DYNAMICS LIMITED,1243.6,,,0.1,1.0,EQUITY,,NSE_EQ,BDL
NSE_EQ|INE591G01025,11543,COFORGE,COFORGE LIMITED,1361.8,,,0.1,1.0,EQUITY,,NSE_EQ,COFORGE
NSE_EQ|INE903U01023,18743,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1040.55,,,0.05,1.0,EQUITY,,NSE_EQ,SIGNATURE
NSE_EQ|INE160A01022,10666,PNB,PUNJAB NATIONAL BANK,118.76,,,0.01,1.0,EQUITY,,NSE_EQ,PNB
NSE_EQ|INE736A01011,21174,CDSL,CENTRAL DEPO SER (I) LTD,1335.3,,,0.1,1.0,EQUITY,,NSE_EQ,CDSL
NSE_EQ|INE814H01029,17388,ADANIPOWER,ADANI POWER LTD,139.9,,,0.01,1.0,EQUITY,,NSE_EQ,ADANIPOWER
NSE_EQ|INE102D01028,10099,GODREJCP,GODREJ CONSUMER PRODUCTS,1195.4,,,0.1,1.0,EQUITY,,NSE_EQ,GODREJCP
NSE_EQ|INE600L01024,11654,LALPATHLAB,DR. LAL PATH LABS LTD.,1398.7,,,0.1,1.0,EQUITY,,NSE_EQ,LALPATHLAB
NSE_EQ|INE134E01011,14299,PFC,POWER FIN CORP LTD.,400.55,,,0.05,1.0,EQUITY,,NSE_EQ,PFC
NSE_EQ|INE269A01021,6596,SONATSOFTW,SONATA SOFTWARE LTD,279.1,,,0.05,1.0,EQUITY,,NSE_EQ,SONATSOFTW
NSE_EQ|INE009A01021,1594,INFY,INFOSYS LIMITED,1369.1,,,0.1,1.0,EQUITY,,NSE_EQ,INFY
NSE_EQ|INE962Y01021,4986,IRCON,IRCON INTERNATIONAL LTD,152.89,,,0.01,1.0,EQUITY,,NSE_EQ,IRCON
NSE_EQ|INE048G01026,14672,NAVINFLUOR,NAVIN FLUORINE INT. LTD,6304.0,,,0.5,1.0,EQUITY,,NSE_EQ,NAVINFLUOR
NSE_EQ|INE918Z01012,12092,KAYNES,KAYNES TECHNOLOGY IND LTD,3942.5,,,0.1,1.0,EQUITY,,NSE_EQ,KAYNES
NSE_EQ|INE376G01013,11373,BIOCON,BIOCON LIMITED.,377.95,,,0.05,1.0,EQUITY,,NSE_EQ,BIOCON
NSE_EQ|INE619A01035,17029,PATANJALI,PATANJALI FOODS LIMITED,521.25,,,0.05,1.0,EQUITY,,NSE_EQ,PATANJALI
NSE_EQ|INE465A01025,422,BHARATFORG,BHARAT FORGE LTD,1738.8,,,0.1,1.0,EQUITY,,NSE_EQ,BHARATFORG
NSE_EQ|INE589A01014,8585,NLCINDIA,NLC INDIA LIMITED,259.3,,,0.05,1.0,EQUITY,,NSE_EQ,NLCINDIA
NSE_EQ|INE463A01038,404,BERGEPAINT,BERGER PAINTS (I) LTD,462.0,,,0.05,1.0,EQUITY,,NSE_EQ,BERGEPAINT
NSE_EQ|INE622W01025,27061,ACMESOLAR,ACME SOLAR HOLDINGS LTD,224.64,,,0.01,1.0,EQUITY,,NSE_EQ,ACMESOLAR
NSE_EQ|INE256A01028,3812,ZEEL,ZEE ENTERTAINMENT ENT LTD,96.2,,,0.01,1.0,EQUITY,,NSE_EQ,ZEEL
NSE_EQ|INE540L01014,11703,ALKEM,ALKEM LABORATORIES LTD.,5402.5,,,0.5,1.0,EQUITY,,NSE_EQ,ALKEM
NSE_EQ|INE237A01036,1922,KOTAKBANK,KOTAK MAHINDRA BANK LTD,420.65,,,0.05,1.0,EQUITY,,NSE_EQ,KOTAKBANK
NSE_EQ|INE126A01031,916,EIDPARRY,EID PARRY INDIA LTD,907.15,,,0.05,1.0,EQUITY,,NSE_EQ,EIDPARRY
NSE_EQ|INE482A01020,15254,CEATLTD,CEAT LIMITED,3965.3,,,0.1,1.0,EQUITY,,NSE_EQ,CEATLTD
NSE_EQ|INE850D01014,144,GODREJAGRO,GODREJ AGROVET LIMITED,651.2,,,0.05,1.0,EQUITY,,NSE_EQ,GODREJAGRO
NSE_EQ|INE361B01024,10940,DIVISLAB,DIVI S LABORATORIES LTD,6168.5,,,0.5,1.0,EQUITY,,NSE_EQ,DIVISLAB
NSE_EQ|INE517B01013,8954,TTML,TATA TELESERV(MAHARASTRA),43.54,,,0.01,1.0,EQUITY,,NSE_EQ,TTML
NSE_EQ|INE385C01021,17758,SARDAEN,SARDA ENERGY & MIN LTD,502.5,,,0.05,1.0,EQUITY,,NSE_EQ,SARDAEN
NSE_EQ|INE811K01011,20302,PRESTIGE,PRESTIGE ESTATE LTD,1519.1,,,0.1,1.0,EQUITY,,NSE_EQ,PRESTIGE
NSE_EQ|INE01EA01019,27969,VMM,VISHAL MEGA MART LIMITED,121.91,,,0.01,1.0,EQUITY,,NSE_EQ,VMM
NSE_EQ|INE510A01028,4907,ENGINERSIN,ENGINEERS INDIA LTD,201.67,,,0.01,1.0,EQUITY,,NSE_EQ,ENGINERSIN
